Year,Month,pr_mm_month
1972,6,73.62899015424773
1972,7,76.41308885067701
1972,8,76.54755553230643
1972,9,72.43661204120144
1972,10,73.71808910393156
1972,11,67.86956341238692
1972,12,70.118416036712
1973,1,71.221505664289
1973,2,64.02640915475786
1973,3,71.00955499336123
1973,4,69.10783558851108
1973,5,73.49375385674648
1973,6,72.86467059748247
1973,7,76.24368031974882
1973,8,75.27104773325846
1973,9,72.43363227462396
1973,10,71.83352881693281
1973,11,69.76865540491417
1973,12,70.24745045928285
1974,1,71.78495029220358
1974,2,65.11649200692773
1974,3,71.69243136886507
1974,4,71.11352024367079
1974,5,74.58271473878995
1974,6,73.52525467285886
1974,7,77.20999881858006
1974,8,77.34429498086683
1974,9,72.3911093082279
1974,10,73.67359817144461
1974,11,69.57792676985264
1974,12,72.10482021910138
1975,1,70.92875318485312
1975,2,64.86928076483309
1975,3,72.41825425880961
1975,4,69.437118654605
1975,5,72.08896679221652
1975,6,74.08753002528101
1975,7,76.41853572567925
1975,8,76.04941006866284
1975,9,72.86617934005335
1975,10,72.16590024763718
1975,11,69.33415640378371
1975,12,70.72416894952767
1976,1,71.68475312646478
1976,2,65.8696245518513
1976,3,70.28484778711572
1976,4,69.54268348636106
1976,5,73.57984663685784
1976,6,72.2195558482781
1976,7,77.96509744366631
1976,8,75.78832546714693
1976,9,71.77157246042043
1976,10,71.4773090381641
1976,11,69.42053663078696
1976,12,69.9841101304628
1977,1,70.61094897799194
1977,2,64.57741765771061
1977,3,70.64897966338322
1977,4,69.4304330390878
1977,5,73.02535671042278
1977,6,73.7554746447131
1977,7,77.47125393943861
1977,8,76.27420815406367
1977,9,72.57849985035136
1977,10,71.9225058099255
1977,11,69.02970629744232
1977,12,69.62782701593824
1978,1,71.52560498798266
1978,2,64.21754043549299
1978,3,71.67412246344611
1978,4,69.513545895461
1978,5,73.11290621291846
1978,6,73.30423803068697
1978,7,77.50852946774103
1978,8,76.83894385700114
1978,9,72.30738352518529
1978,10,73.40470865601674
1978,11,69.66858333908021
1978,12,71.27199400565587
1979,1,71.0254084202461
1979,2,65.6293393811211
1979,3,72.09412134834565
1979,4,68.37524677393958
1979,5,72.32845877297223
1979,6,72.72324484074488
1979,7,77.01655193232
1979,8,76.29621976520866
1979,9,72.83703703433275
1979,10,72.74925179081038
1979,11,69.66036540688947
1979,12,72.15119173633866
1980,1,71.80704472702928
1980,2,66.8333918612916
1980,3,72.43349868804216
1980,4,69.76994726574048
1980,5,74.28188938647509
1980,6,72.45094981044531
1980,7,78.0522035958711
1980,8,75.1160602667369
1980,9,72.0187186379917
1980,10,73.60265238094144
1980,11,68.70897591579705
1980,12,71.93459319532849
1981,1,70.02883979002945
1981,2,65.39164641872048
1981,3,71.99532244121656
1981,4,69.83524753013626
1981,5,74.1825643053744
1981,6,73.03599774604663
1981,7,76.98109365301207
1981,8,77.2827813460026
1981,9,72.2778687486425
1981,10,73.7082818057388
1981,11,69.55345213646069
1981,12,71.66711168247275
1982,1,71.25644264160655
1982,2,64.40927458461374
1982,3,71.8139142205473
1982,4,69.28127026185393
1982,5,72.87615228560753
1982,6,73.33679858129472
1982,7,77.28236722759902
1982,8,76.34634757996537
1982,9,72.24999472964555
1982,10,72.58726815925911
1982,11,69.74576495122164
1982,12,70.6421929935459
1983,1,72.174192359671
1983,2,64.90060791838914
1983,3,72.405952506233
1983,4,70.26682334253564
1983,5,73.58315471210517
1983,6,73.35401239106432
1983,7,77.21076859161258
1983,8,78.36301163770258
1983,9,73.08364100754261
1983,10,72.36580738099292
1983,11,68.94922902574763
1983,12,70.79548501060344
1984,1,71.27750421641394
1984,2,66.47963086143136
1984,3,71.67697257245891
1984,4,69.17258893372491
1984,5,73.03056973032653
1984,6,71.68076501693577
1984,7,76.13063573953696
1984,8,76.46024962887168
1984,9,72.51663669012487
1984,10,72.50499501242302
1984,11,69.77050832938403
1984,12,71.72901507583447
1985,1,70.12021379778162
1985,2,64.137719781138
1985,3,71.26929492806084
1985,4,69.09040018217638
1985,5,72.79522380558774
1985,6,72.64346536248922
1985,7,78.1764488609042
1985,8,76.72995276516303
1985,9,73.19881464354694
1985,10,73.6175314115826
1985,11,69.72448225133121
1985,12,69.10706581547856
1986,1,71.81887876940891
1986,2,64.72668698988855
1986,3,72.02278092736378
1986,4,70.39750402327627
1986,5,73.15004532574676
1986,6,73.73496989021078
1986,7,76.2719719146844
1986,8,77.18484477954917
1986,9,72.5242558401078
1986,10,73.55162812164053
1986,11,68.45271127531305
1986,12,72.05173023976386
1987,1,70.17089214641601
1987,2,63.977801240980625
1987,3,71.99767073616385
1987,4,68.90661647776142
1987,5,72.72259230958298
1987,6,73.80147714866325
1987,7,77.06542764790356
1987,8,75.26871405425481
1987,9,73.26377544086426
1987,10,71.9967840355821
1987,11,69.52001934405416
1987,12,69.80508918059058
1988,1,71.09939432702959
1988,2,65.18537852098234
1988,3,70.97188970656134
1988,4,70.13534114230424
1988,5,73.14547540736385
1988,6,73.00348905846477
1988,7,76.5548050403595
1988,8,76.67544503929093
1988,9,71.8659867416136
1988,10,74.17141234036535
1988,11,69.2738585639745
1988,12,71.92789909313433
1989,1,71.15885198581964
1989,2,65.03592766821384
1989,3,71.16002613329329
1989,4,69.47458261856809
1989,5,73.40156622813083
1989,6,73.82060517556965
1989,7,77.12037872406654
1989,8,76.05228453758173
1989,9,72.4661362473853
1989,10,71.86396895558573
1989,11,69.80556773487478
1989,12,71.34731483529322
1990,1,70.2870060747955
1990,2,63.8968892628327
1990,3,71.8115366937127
1990,4,69.82002808945253
1990,5,73.76651659724303
1990,6,72.76010530767962
1990,7,77.09279356640764
1990,8,76.62506388151087
1990,9,73.1189408688806
1990,10,72.7196155290585
1990,11,69.97550872620195
1990,12,69.99909634469077
1991,1,72.02673697611317
1991,2,64.85122991725802
1991,3,71.8448756611906
1991,4,70.09091810323298
1991,5,73.80731456796639
1991,6,72.96700577717274
1991,7,77.61600050143898
1991,8,76.39327937504277
1991,9,72.18388351611793
1991,10,73.6837854841724
1991,11,70.43704250827432
1991,12,72.23324564401992
1992,1,71.04041412239894
1992,2,67.44314749957994
1992,3,72.7781864872668
1992,4,70.80750953173265
1992,5,72.90467286366038
1992,6,72.23870744928718
1992,7,76.11394433188252
1992,8,75.05582796293311
1992,9,73.23859358439222
1992,10,72.22803749609739
1992,11,69.78393613826483
1992,12,70.70925094303675
1993,1,71.45875166170299
1993,2,64.68468422535807
1993,3,71.41453356016427
1993,4,69.53669566428289
1993,5,74.24701087293215
1993,6,73.40195268625394
1993,7,77.46819920721464
1993,8,76.2212643341627
1993,9,71.4837751002051
1993,10,72.91859698598273
1993,11,67.84242019057274
1993,12,70.7126954337582
1994,1,70.13862014282495
1994,2,63.660177611745894
1994,3,71.44958259304985
1994,4,69.09030117094517
1994,5,72.36537377466448
1994,6,73.6534129246138
1994,7,76.63100769859739
1994,8,76.30925231496803
1994,9,71.73380674794316
1994,10,72.06627310370095
1994,11,69.5379309472628
1994,12,71.2754872161895
1995,1,71.09699244028889
1995,2,64.42508997861296
1995,3,72.08487919997424
1995,4,69.44248883519322
1995,5,74.6638186101336
1995,6,73.48259026184678
1995,7,77.26460398407653
1995,8,76.84663671534508
1995,9,71.84316701022908
1995,10,72.62432932038791
1995,11,68.62945575267076
1995,12,71.9557132339105
1996,1,70.82501896074973
1996,2,67.6917313830927
1996,3,73.82205718313344
1996,4,71.05808809865266
1996,5,73.09229773236439
1996,6,73.85930913733318
1996,7,77.60388875612989
1996,8,77.25605365703814
1996,9,73.26418563025072
1996,10,73.40944422176108
1996,11,68.73142317635939
1996,12,70.63977161888033
1997,1,70.6968322629109
1997,2,64.53071516007185
1997,3,71.77470938768238
1997,4,69.94638527976349
1997,5,73.48877956392244
1997,6,72.65471963910386
1997,7,77.27696907240897
1997,8,76.06021125102416
1997,9,73.40716727776453
1997,10,73.03886184236035
1997,11,69.14138153661042
1997,12,72.00710289180279
1998,1,70.92986399657093
1998,2,63.93424510024488
1998,3,71.74946765298955
1998,4,68.65966360783204
1998,5,73.88643067097291
1998,6,74.52542841201648
1998,7,77.68028629361652
1998,8,75.53632223862223
1998,9,73.44251428730786
1998,10,73.63753089448437
1998,11,69.53644577879459
1998,12,73.20917656179518
1999,1,70.87362671736628
