Year,Month,tos
2001,5,13.211255
2001,6,13.225023
2001,7,13.41635
2001,8,13.510196
2001,9,13.297702
2001,10,12.982893
2001,11,12.840914
2001,12,13.005073
2002,1,13.3293
2002,2,13.461933
2002,3,13.4548
2002,4,13.242042
2002,5,13.0932455
2002,6,13.112689
2002,7,13.315331
2002,8,13.41956
2002,9,13.235502
2002,10,12.987788
2002,11,12.8117
2002,12,12.921811
2003,1,13.286441
2003,2,13.520293
2003,3,13.472559
2003,4,13.257303
2003,5,13.088918
2003,6,13.120325
2003,7,13.334206
2003,8,13.48897
2003,9,13.331595
2003,10,12.999106
2003,11,12.853569
2003,12,13.034666
2004,1,13.420857
2004,2,13.615203
2004,3,13.537254
2004,4,13.327304
2004,5,13.142434
2004,6,13.18592
2004,7,13.346885
2004,8,13.440861
2004,9,13.285642
2004,10,12.989333
2004,11,12.839998
2004,12,12.987794
2005,1,13.299401
2005,2,13.5211315
2005,3,13.446867
2005,4,13.250715
2005,5,13.069591
2005,6,13.1011
2005,7,13.295186
2005,8,13.417425
2005,9,13.216489
2005,10,12.902767
2005,11,12.71324
2005,12,12.834655
2006,1,13.252997
2006,2,13.445436
2006,3,13.426669
2006,4,13.240633
2006,5,13.070686
2006,6,13.103998
2006,7,13.34181
2006,8,13.415923
2006,9,13.213834
2006,10,12.941712
2006,11,12.820443
2006,12,12.926754
2007,1,13.348874
2007,2,13.505887
2007,3,13.425323
2007,4,13.240189
2007,5,13.080035
2007,6,13.13167
2007,7,13.326247
2007,8,13.453604
2007,9,13.294026
2007,10,13.00491
2007,11,12.869035
2007,12,12.994603
2008,1,13.35945
2008,2,13.554238
2008,3,13.5308695
2008,4,13.3300705
2008,5,13.181419
2008,6,13.245883
2008,7,13.452739
2008,8,13.5879135
2008,9,13.386512
2008,10,13.054329
2008,11,12.881439
2008,12,13.078761
2009,1,13.486339
2009,2,13.66796
2009,3,13.637473
2009,4,13.417923
2009,5,13.270151
2009,6,13.299224
2009,7,13.503199
2009,8,13.625833
2009,9,13.415672
2009,10,13.122292
2009,11,12.968539
2009,12,13.094106
2010,1,13.452856
2010,2,13.690763
2010,3,13.614684
2010,4,13.420008
2010,5,13.267378
2010,6,13.302316
2010,7,13.476437
2010,8,13.591456
2010,9,13.395753
2010,10,13.065415
2010,11,12.885664
2010,12,13.064291
2011,1,13.473589
2011,2,13.666526
2011,3,13.521736
2011,4,13.313902
2011,5,13.152267
2011,6,13.214466
2011,7,13.415766
2011,8,13.554082
2011,9,13.405021
2011,10,13.054214
2011,11,12.879294
2011,12,13.003309
2012,1,13.384589
2012,2,13.577587
2012,3,13.504073
2012,4,13.280862
2012,5,13.160677
2012,6,13.196241
2012,7,13.439714
2012,8,13.597594
2012,9,13.412082
